timestamp,eventtext,operator
2015-05-31 18:12:53.587638,1,K
2015-05-31 18:12:53.782305,+,K
2015-05-31 18:12:53.979515,2,K
2015-05-31 18:12:54.121022,+,K
2015-05-31 18:12:54.280759,3,K
2015-05-31 18:12:54.496315,+,K
2015-05-31 18:12:54.744957,4,K
2015-05-31 18:12:55.043154,+,K
2015-05-31 18:12:55.258272,5,K
2015-05-31 18:12:55.488365,+,K
2015-05-31 18:12:55.667691,6,K
2015-05-31 18:12:55.943400,+,K
2015-05-31 18:12:56.226359,7,K
2015-05-31 18:12:56.423806,+,K
2015-05-31 18:12:56.704819,8,K
2015-05-31 18:12:56.906108,+,K
2015-05-31 18:12:57.133679,9,K
2015-05-31 18:12:57.326285,+,K
2015-05-31 18:12:57.745122,1,K
2015-05-31 18:12:58.142930,0,K
2015-05-31 18:12:58.383563,+,K
2015-05-31 18:12:58.681607,1,K
2015-05-31 18:12:58.862751,1,K
2015-05-31 18:12:59.085369,+,K
2015-05-31 18:12:59.360445,1,K
2015-05-31 18:12:59.570684,2,K
2015-05-31 18:12:59.726785,+,K
2015-05-31 18:12:59.952472,1,K
2015-05-31 18:13:00.188301,3,K
2015-05-31 18:13:00.463283,+,K
2015-05-31 18:13:00.737856,1,K
2015-05-31 18:13:00.998943,4,K
2015-05-31 18:13:01.196397,+,K
2015-05-31 18:13:01.385711,1,K
2015-05-31 18:13:01.709978,5,K
2015-05-31 18:13:01.902322,+,K
2015-05-31 18:13:02.123792,1,K
2015-05-31 18:13:02.501507,6,K
2015-05-31 18:13:02.779439,+,K
2015-05-31 18:13:03.013871,1,K
2015-05-31 18:13:03.370588,7,K
2015-05-31 18:13:03.551775,+,K
2015-05-31 18:13:03.766366,1,K
2015-05-31 18:13:04.155585,8,K
2015-05-31 18:13:04.315187,+,K
2015-05-31 18:13:04.554033,1,K
2015-05-31 18:13:04.976954,9,K
2015-05-31 18:13:05.213596,+,K
2015-05-31 18:13:05.622328,2,K
2015-05-31 18:13:06.017223,0,K
2015-05-31 18:13:06.235692,+,K
