timestamp,eventtext,operator
2015-05-31 18:11:13.104314,1,K
2015-05-31 18:11:13.301035,+,K
2015-05-31 18:11:13.479219,2,K
2015-05-31 18:11:13.637378,+,K
2015-05-31 18:11:13.912274,3,K
2015-05-31 18:11:14.060293,+,K
2015-05-31 18:11:14.588094,4,K
2015-05-31 18:11:14.733110,+,K
2015-05-31 18:11:14.978837,5,K
2015-05-31 18:11:15.106622,+,K
2015-05-31 18:11:15.323819,6,K
2015-05-31 18:11:15.453189,+,K
2015-05-31 18:11:15.660469,7,K
2015-05-31 18:11:15.810679,+,K
2015-05-31 18:11:16.011094,8,K
2015-05-31 18:11:16.161149,+,K
2015-05-31 18:11:16.337080,9,K
2015-05-31 18:11:16.698972,+,K
2015-05-31 18:11:17.439047,1,K
2015-05-31 18:11:17.866848,0,K
2015-05-31 18:11:18.176258,+,K
2015-05-31 18:11:18.488596,1,K
2015-05-31 18:11:18.682828,1,K
2015-05-31 18:11:18.885251,+,K
2015-05-31 18:11:19.208438,1,K
2015-05-31 18:11:19.410923,2,K
2015-05-31 18:11:19.493487,+,K
2015-05-31 18:11:19.731187,1,K
2015-05-31 18:11:19.954637,3,K
2015-05-31 18:11:20.097729,+,K
2015-05-31 18:11:20.286026,1,K
2015-05-31 18:11:20.544024,4,K
2015-05-31 18:11:20.671465,+,K
2015-05-31 18:11:20.878278,1,K
2015-05-31 18:11:21.204565,5,K
2015-05-31 18:11:21.377832,+,K
2015-05-31 18:11:21.573082,1,K
2015-05-31 18:11:21.936677,6,K
2015-05-31 18:11:22.127111,+,K
2015-05-31 18:11:22.330090,1,K
2015-05-31 18:11:22.748394,7,K
2015-05-31 18:11:22.970068,+,K
2015-05-31 18:11:23.164305,1,K
2015-05-31 18:11:23.561010,8,K
2015-05-31 18:11:23.738343,+,K
2015-05-31 18:11:24.064627,1,K
2015-05-31 18:11:24.462379,9,K
2015-05-31 18:11:24.684172,+,K
2015-05-31 18:11:25.214189,2,K
2015-05-31 18:11:25.625249,0,K
2015-05-31 18:11:25.854117,+,K
